Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
2353,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_1,Min,0.8,0.8145,0.014499999999999957,0.8,0.6634643633585993,664989,11455,103673,22583,0.09072836142440756
2413,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_1,Max,0.8,0.8145,0.014499999999999957,0.8145,0.6766220391349125,666710,9734,105889,20367,0.07709732606767203
2353,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_10,Min,0.8,0.8143,0.01429999999999998,0.8,0.6571529707537467,664989,11455,103673,22583,0.09072836142440756
2411,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_10,Max,0.8,0.8143,0.01429999999999998,0.8143,0.6766686163212676,666708,9736,105889,20367,0.07711316689899886
2353,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_20,Min,0.8,0.8142,0.01419999999999999,0.8,0.6571280852089741,664989,11455,103673,22583,0.09072836142440756
2410,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_20,Max,0.8,0.8142,0.01419999999999999,0.8142,0.6766482585378496,666707,9737,105888,20368,0.07712108731466227
2352,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_50,Min,0.7998,0.8143,0.014500000000000068,0.7998,0.6568639499778395,663298,13146,101684,24572,0.10412178431124065
2411,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_50,Max,0.7998,0.8143,0.014500000000000068,0.8143,0.6766688555334597,666708,9736,105889,20367,0.07711316689899886
2353,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_100,Min,0.8,0.8145,0.014499999999999957,0.8,0.6567101811383554,664989,11455,103673,22583,0.09072836142440756
2413,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_100,Max,0.8,0.8145,0.014499999999999957,0.8145,0.6766010885735911,666710,9734,105889,20367,0.07709732606767203
2361,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_200,Min,0.8017,0.8165,0.014800000000000035,0.8017,0.6569899330858195,664994,11450,103683,22573,0.09068875934609048
2419,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_200,Max,0.8017,0.8165,0.014800000000000035,0.8165,0.6766234404746059,666754,9690,105926,20330,0.07674882777848181
2406,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_500,Min,0.8133,0.8342,0.02090000000000003,0.8133,0.6567784627925718,666703,9741,105884,20372,0.07715276897731593
2477,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_500,Max,0.8133,0.8342,0.02090000000000003,0.8342,0.6766681509212579,669572,6872,110027,16229,0.05442909643898112
2307,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_1000,Max,,0.7878,,0.7878,0.5872123548170973,661283,15161,99390,26866,0.1200814218730199
1807,BRFC_alpha_0_5_0_1_0_1_Hard_Round_4,Prec_2000,Max,,0.664,,0.664,0.37542918093178157,620923,55521,70282,55974,0.43974939804840957
8883,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_1,Min,0.9475,0.9648,0.017299999999999982,0.9475,0.6569500674763833,675173,1271,123822,2434,0.010066848308199214
8988,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_1,Max,0.9475,0.9648,0.017299999999999982,0.9648,0.6766091051805337,675826,618,124963,1293,0.004894816879989862
8886,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_10,Min,0.9478,0.9647,0.016900000000000026,0.9478,0.6568505722306197,675175,1269,123823,2433,0.010051007476872386
8987,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_10,Max,0.9478,0.9647,0.016900000000000026,0.9647,0.6764489323656253,675826,618,124962,1294,0.004894816879989862
8888,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_20,Min,0.9481,0.9647,0.016599999999999948,0.9481,0.6569293753631217,675177,1267,123824,2432,0.010035166645545558
8987,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_20,Max,0.9481,0.9647,0.016599999999999948,0.9647,0.6766326557515357,675826,618,124962,1294,0.004894816879989862
8890,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_50,Min,0.9486,0.9643,0.015700000000000047,0.9486,0.6567613779807671,675181,1263,123833,2423,0.010003484982891902
8986,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_50,Max,0.9486,0.9643,0.015700000000000047,0.9643,0.6765236357535338,675825,619,124962,1294,0.004902737295653276
8893,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_100,Min,0.9489,0.9633,0.01440000000000008,0.9489,0.6567902908671774,675184,1260,123836,2420,0.00997972373590166
8984,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_100,Max,0.9489,0.9633,0.01440000000000008,0.9633,0.6764997621433415,675821,623,124958,1298,0.0049344189583069315
8906,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_200,Min,0.951,0.9656,0.014600000000000057,0.951,0.6567481714268965,675442,1002,124306,1950,0.007936256494740845
8990,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_200,Max,0.951,0.9656,0.014600000000000057,0.9656,0.6742035137747965,675846,598,124998,1258,0.004736408566721581
8840,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_500,Max,,0.941,,0.941,0.6350036516231096,675019,1425,123667,2589,0.011286592320364972
8590,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_1000,Max,,0.9099,,0.9099,0.5858751494259943,672574,3870,120180,6076,0.03065200861741224
8090,BRFC_alpha_0_5_0_1_0_1_Medium_Round_4,Prec_2000,Max,,0.8565,,0.8565,0.5045505041528477,665601,10843,113214,13042,0.08588106703839818
9917,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_1,Max,,0.999,,0.999,0.6314199395770392,676322,122,126047,209,0.0009662907109365099
9914,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_10,Max,,0.9986,,0.9986,0.6316639741518578,676319,125,126043,213,0.000990051957926752
9909,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_20,Max,,0.9971,,0.9971,0.6222923540381581,676309,135,126023,233,0.0010692561145608922
9894,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_50,Max,,0.995,,0.995,0.6161924589405506,676274,170,126002,254,0.0013464706627803827
9869,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_100,Max,,0.991,,0.991,0.6046080776097282,676229,215,125910,346,0.0017028893676340135
9819,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_200,Max,,0.9845,,0.9845,0.5906116250172581,676068,376,125723,533,0.00297807628944367
9669,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_500,Max,,0.9683,,0.9683,0.5506843269671859,675601,843,125179,1077,0.006676910404258015
9419,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_1000,Max,,0.9429,,0.9429,0.5007478193188492,674375,2069,123992,2264,0.0163873400076036
8919,BRFC_alpha_0_5_0_1_0_1_Easy_Round_4,Prec_2000,Max,,0.8926,,0.8926,0.414747576202845,669788,6656,120588,5668,0.05271828665568369
5575,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_1,Min,0.5576,0.5912,0.03359999999999996,0.5576,0.6568262882294907,667400,9044,108946,17310,0.07163223925991637
5911,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_1,Max,0.5576,0.5912,0.03359999999999996,0.5912,0.6765901100406374,669361,7083,111438,14818,0.05610030414396148
5574,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_10,Min,0.5575,0.5912,0.03369999999999995,0.5575,0.6567372391440324,667390,9054,108937,17319,0.0717114434165505
5911,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_10,Max,0.5575,0.5912,0.03369999999999995,0.5912,0.6766494402951005,669361,7083,111438,14818,0.05610030414396148
5574,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_20,Min,0.5575,0.5913,0.03380000000000005,0.5575,0.6567407179965391,667390,9054,108937,17319,0.0717114434165505
5912,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_20,Max,0.5575,0.5913,0.03380000000000005,0.5913,0.6766905617202612,669369,7075,111443,14813,0.056036940818654166
5575,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_50,Min,0.5576,0.5915,0.03390000000000004,0.5576,0.6567001564475036,667400,9044,108946,17310,0.07163223925991637
5914,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_50,Max,0.5576,0.5915,0.03390000000000004,0.5915,0.6766789057105884,669383,7061,111450,14806,0.05592605499936636
5580,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_100,Min,0.5581,0.5919,0.03379999999999994,0.5581,0.6567432583391432,667436,9008,108979,17277,0.07134710429603346
5918,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_100,Max,0.5581,0.5919,0.03379999999999994,0.5919,0.6766546594440014,669403,7041,111480,14776,0.055767646686098085
5587,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_200,Min,0.5588,0.5921,0.033299999999999996,0.5588,0.656752571565418,667474,8970,109047,17209,0.07104612850082373
5920,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_200,Max,0.5588,0.5921,0.033299999999999996,0.5921,0.6766501514708216,669411,7033,111504,14752,0.05570428336079077
5612,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_500,Min,0.5613,0.5937,0.032399999999999984,0.5613,0.6567611836217107,667622,8822,109253,17003,0.06987390698263844
5936,KBFC_alpha_0_5_gamma_0_0_0_1_0_1_Hard_Round_4,Prec_500,Max,0.5613,0.5937,0.032399999999999984,0.5937,0.6766907431324292,669495,6949,111619,14637,0.055038968445064
