,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.000000,0.002857,238,1,0.0042,238,"676,206",1,"126,255",0.1573,1.0000,5.3558
1,0.003333,0.004444,23,1,0.0417,261,"676,183",2,"126,254",0.1573,1.0000,5.3557
2,0.005000,0.008333,40,1,0.0244,301,"676,143",3,"126,253",0.1573,1.0000,5.3553
3,0.008667,0.009643,10,1,0.0909,311,"676,133",4,"126,252",0.1573,1.0000,5.3553
4,0.010000,0.010833,352,8,0.0222,663,"675,781",12,"126,244",0.1574,0.9999,5.3525
5,0.011111,0.014667,65,1,0.0152,728,"675,716",13,"126,243",0.1574,0.9999,5.3520
6,0.015000,0.016429,65,1,0.0152,793,"675,651",14,"126,242",0.1574,0.9999,5.3514
7,0.016667,0.016667,31,1,0.0312,824,"675,620",15,"126,241",0.1574,0.9999,5.3512
8,0.017000,0.017357,8,1,0.1111,832,"675,612",16,"126,240",0.1574,0.9999,5.3511
9,0.017500,0.019167,27,1,0.0357,859,"675,585",17,"126,239",0.1574,0.9999,5.3509
10,0.020000,0.021429,561,8,0.0141,"1,420","675,024",25,"126,231",0.1575,0.9998,5.3465
11,0.021667,0.023190,54,1,0.0182,"1,474","674,970",26,"126,230",0.1576,0.9998,5.3460
12,0.023333,0.023833,50,1,0.0196,"1,524","674,920",27,"126,229",0.1576,0.9998,5.3456
13,0.024000,0.024762,30,1,0.0323,"1,554","674,890",28,"126,228",0.1576,0.9998,5.3454
14,0.025000,0.026500,105,1,0.0094,"1,659","674,785",29,"126,227",0.1576,0.9998,5.3446
15,0.026667,0.027222,39,1,0.0250,"1,698","674,746",30,"126,226",0.1576,0.9998,5.3443
16,0.027333,0.027333,4,1,0.2000,"1,702","674,742",31,"126,225",0.1576,0.9998,5.3442
17,0.027500,0.028444,26,1,0.0370,"1,728","674,716",32,"126,224",0.1576,0.9997,5.3440
18,0.028452,0.030000,11,1,0.0833,"1,739","674,705",33,"126,223",0.1576,0.9997,5.3439
19,0.030000,0.033571,956,16,0.0165,"2,695","673,749",49,"126,207",0.1578,0.9996,5.3364
20,0.033667,0.033857,8,1,0.1111,"2,703","673,741",50,"126,206",0.1578,0.9996,5.3363
21,0.034000,0.035000,38,1,0.0256,"2,741","673,703",51,"126,205",0.1578,0.9996,5.3360
22,0.035000,0.035833,133,3,0.0221,"2,874","673,570",54,"126,202",0.1578,0.9996,5.3350
23,0.036000,0.036000,13,1,0.0714,"2,887","673,557",55,"126,201",0.1578,0.9996,5.3349
24,0.036167,0.036500,5,1,0.1667,"2,892","673,552",56,"126,200",0.1578,0.9996,5.3348
25,0.036667,0.037429,67,3,0.0429,"2,959","673,485",59,"126,197",0.1578,0.9995,5.3343
26,0.037500,0.040000,89,1,0.0111,"3,048","673,396",60,"126,196",0.1578,0.9995,5.3336
27,0.040000,0.040833,981,23,0.0229,"4,029","672,415",83,"126,173",0.1580,0.9993,5.3258
28,0.041000,0.041000,7,1,0.1250,"4,036","672,408",84,"126,172",0.1580,0.9993,5.3258
29,0.041333,0.041500,1,1,0.5000,"4,037","672,407",85,"126,171",0.1580,0.9993,5.3257
30,0.041667,0.042222,47,2,0.0408,"4,084","672,360",87,"126,169",0.1580,0.9993,5.3254
31,0.042500,0.043167,60,2,0.0323,"4,144","672,300",89,"126,167",0.1580,0.9993,5.3249
32,0.043333,0.043974,91,2,0.0215,"4,235","672,209",91,"126,165",0.1580,0.9993,5.3242
33,0.044000,0.044444,31,1,0.0312,"4,266","672,178",92,"126,164",0.1580,0.9993,5.3239
34,0.044524,0.045000,6,1,0.1429,"4,272","672,172",93,"126,163",0.1580,0.9993,5.3239
35,0.045000,0.046500,222,4,0.0177,"4,494","671,950",97,"126,159",0.1581,0.9992,5.3221
36,0.046667,0.047389,99,1,0.0100,"4,593","671,851",98,"126,158",0.1581,0.9992,5.3213
37,0.047500,0.048167,64,2,0.0303,"4,657","671,787",100,"126,156",0.1581,0.9992,5.3208
38,0.048333,0.049889,64,1,0.0154,"4,721","671,723",101,"126,155",0.1581,0.9992,5.3203
39,0.050000,0.050476,"1,185",30,0.0247,"5,906","670,538",131,"126,125",0.1583,0.9990,5.3109
40,0.050500,0.050667,7,1,0.1250,"5,913","670,531",132,"126,124",0.1583,0.9990,5.3109
41,0.050833,0.051500,13,2,0.1333,"5,926","670,518",134,"126,122",0.1583,0.9989,5.3108
42,0.051667,0.053286,159,2,0.0124,"6,085","670,359",136,"126,120",0.1583,0.9989,5.3095
43,0.053333,0.054000,141,3,0.0208,"6,226","670,218",139,"126,117",0.1584,0.9989,5.3084
44,0.054048,0.055000,27,1,0.0357,"6,253","670,191",140,"126,116",0.1584,0.9989,5.3082
45,0.055000,0.055714,243,3,0.0122,"6,496","669,948",143,"126,113",0.1584,0.9989,5.3063
46,0.055833,0.056167,27,2,0.0690,"6,523","669,921",145,"126,111",0.1584,0.9989,5.3061
47,0.056667,0.057111,121,1,0.0082,"6,644","669,800",146,"126,110",0.1584,0.9988,5.3051
48,0.057333,0.057429,2,1,0.3333,"6,646","669,798",147,"126,109",0.1584,0.9988,5.3051
49,0.057500,0.057500,1,1,0.5000,"6,647","669,797",148,"126,108",0.1584,0.9988,5.3051
50,0.057500,0.057833,52,2,0.0370,"6,699","669,745",150,"126,106",0.1585,0.9988,5.3047
51,0.058000,0.058000,16,1,0.0588,"6,715","669,729",151,"126,105",0.1585,0.9988,5.3045
52,0.058333,0.058500,52,5,0.0877,"6,767","669,677",156,"126,100",0.1585,0.9988,5.3041
53,0.058667,0.060000,47,3,0.0600,"6,814","669,630",159,"126,097",0.1585,0.9987,5.3037
54,0.060000,0.060556,"1,504",39,0.0253,"8,318","668,126",198,"126,058",0.1587,0.9984,5.2918
55,0.060667,0.061524,41,1,0.0238,"8,359","668,085",199,"126,057",0.1587,0.9984,5.2915
56,0.061667,0.061944,46,1,0.0213,"8,405","668,039",200,"126,056",0.1587,0.9984,5.2911
57,0.062000,0.062333,31,2,0.0606,"8,436","668,008",202,"126,054",0.1587,0.9984,5.2909
58,0.062500,0.062778,75,3,0.0385,"8,511","667,933",205,"126,051",0.1588,0.9984,5.2903
59,0.062833,0.063206,18,1,0.0526,"8,529","667,915",206,"126,050",0.1588,0.9984,5.2902
60,0.063333,0.063750,135,6,0.0426,"8,664","667,780",212,"126,044",0.1588,0.9983,5.2891
61,0.063833,0.063929,3,1,0.2500,"8,667","667,777",213,"126,043",0.1588,0.9983,5.2891
62,0.064000,0.065000,60,2,0.0323,"8,727","667,717",215,"126,041",0.1588,0.9983,5.2886
63,0.065000,0.065238,308,6,0.0191,"9,035","667,409",221,"126,035",0.1588,0.9982,5.2862
64,0.065333,0.065750,13,1,0.0714,"9,048","667,396",222,"126,034",0.1588,0.9982,5.2861
65,0.065833,0.065833,12,1,0.0769,"9,060","667,384",223,"126,033",0.1588,0.9982,5.2860
66,0.066000,0.066250,23,1,0.0417,"9,083","667,361",224,"126,032",0.1589,0.9982,5.2858
67,0.066333,0.066333,1,1,0.5000,"9,084","667,360",225,"126,031",0.1589,0.9982,5.2858
68,0.066429,0.066500,3,2,0.4000,"9,087","667,357",227,"126,029",0.1588,0.9982,5.2857
69,0.066667,0.066786,131,3,0.0224,"9,218","667,226",230,"126,026",0.1589,0.9982,5.2847
70,0.066788,0.066917,2,1,0.3333,"9,220","667,224",231,"126,025",0.1589,0.9982,5.2847
71,0.067000,0.067222,27,2,0.0690,"9,247","667,197",233,"126,023",0.1589,0.9982,5.2845
72,0.067333,0.067667,83,1,0.0119,"9,330","667,114",234,"126,022",0.1589,0.9981,5.2838
73,0.067690,0.068429,61,1,0.0161,"9,391","667,053",235,"126,021",0.1589,0.9981,5.2833
74,0.068500,0.068750,15,1,0.0625,"9,406","667,038",236,"126,020",0.1589,0.9981,5.2832
75,0.069000,0.069286,29,1,0.0333,"9,435","667,009",237,"126,019",0.1589,0.9981,5.2830
76,0.069333,0.069333,13,1,0.0714,"9,448","666,996",238,"126,018",0.1589,0.9981,5.2829
77,0.069373,0.070000,11,1,0.0833,"9,459","666,985",239,"126,017",0.1589,0.9981,5.2828
78,0.070000,0.070595,"1,670",43,0.0251,"11,129","665,315",282,"125,974",0.1592,0.9978,5.2696
79,0.070606,0.070786,15,1,0.0625,"11,144","665,300",283,"125,973",0.1592,0.9978,5.2695
80,0.070833,0.071000,31,2,0.0606,"11,175","665,269",285,"125,971",0.1592,0.9977,5.2692
81,0.071111,0.071500,20,1,0.0476,"11,195","665,249",286,"125,970",0.1592,0.9977,5.2690
82,0.071667,0.071833,69,4,0.0548,"11,264","665,180",290,"125,966",0.1592,0.9977,5.2685
83,0.072000,0.072341,33,1,0.0294,"11,297","665,147",291,"125,965",0.1592,0.9977,5.2682
84,0.072500,0.073056,97,2,0.0202,"11,394","665,050",293,"125,963",0.1592,0.9977,5.2675
85,0.073095,0.073095,3,1,0.2500,"11,397","665,047",294,"125,962",0.1592,0.9977,5.2674
86,0.073190,0.073262,7,1,0.1250,"11,404","665,040",295,"125,961",0.1592,0.9977,5.2674
87,0.073333,0.073333,172,7,0.0391,"11,576","664,868",302,"125,954",0.1593,0.9976,5.2660
88,0.073500,0.073583,8,2,0.2000,"11,584","664,860",304,"125,952",0.1593,0.9976,5.2660
89,0.073619,0.073667,6,1,0.1429,"11,590","664,854",305,"125,951",0.1593,0.9976,5.2659
90,0.073750,0.073929,10,1,0.0909,"11,600","664,844",306,"125,950",0.1593,0.9976,5.2658
91,0.074000,0.074861,67,2,0.0290,"11,667","664,777",308,"125,948",0.1593,0.9976,5.2653
92,0.075000,0.075500,344,9,0.0255,"12,011","664,433",317,"125,939",0.1593,0.9975,5.2626
93,0.075667,0.075714,4,1,0.2000,"12,015","664,429",318,"125,938",0.1593,0.9975,5.2626
94,0.075833,0.076000,25,2,0.0741,"12,040","664,404",320,"125,936",0.1593,0.9975,5.2624
95,0.076000,0.076190,30,3,0.0909,"12,070","664,374",323,"125,933",0.1593,0.9974,5.2621
96,0.076250,0.076500,24,2,0.0769,"12,094","664,350",325,"125,931",0.1593,0.9974,5.2619
97,0.076667,0.076667,161,5,0.0301,"12,255","664,189",330,"125,926",0.1594,0.9974,5.2607
98,0.077000,0.077143,26,2,0.0714,"12,281","664,163",332,"125,924",0.1594,0.9974,5.2604
99,0.077333,0.077381,9,1,0.1000,"12,290","664,154",333,"125,923",0.1594,0.9974,5.2604
100,0.077500,0.077667,79,2,0.0247,"12,369","664,075",335,"125,921",0.1594,0.9973,5.2598
101,0.077857,0.078000,6,1,0.1429,"12,375","664,069",336,"125,920",0.1594,0.9973,5.2597
102,0.078000,0.078100,22,1,0.0435,"12,397","664,047",337,"125,919",0.1594,0.9973,5.2595
103,0.078333,0.079000,89,2,0.0220,"12,486","663,958",339,"125,917",0.1594,0.9973,5.2588
104,0.079048,0.079143,1,1,0.5000,"12,487","663,957",340,"125,916",0.1594,0.9973,5.2588
105,0.079167,0.079545,40,1,0.0244,"12,527","663,917",341,"125,915",0.1594,0.9973,5.2585
106,0.079643,0.080000,17,2,0.1053,"12,544","663,900",343,"125,913",0.1594,0.9973,5.2584
107,0.080000,0.080667,"1,895",42,0.0217,"14,439","662,005",385,"125,871",0.1598,0.9970,5.2434
108,0.080833,0.080952,14,1,0.0667,"14,453","661,991",386,"125,870",0.1598,0.9969,5.2432
109,0.081000,0.081429,21,3,0.1250,"14,474","661,970",389,"125,867",0.1598,0.9969,5.2431
110,0.081500,0.081500,8,1,0.1111,"14,482","661,962",390,"125,866",0.1598,0.9969,5.2430
111,0.081667,0.081905,56,5,0.0820,"14,538","661,906",395,"125,861",0.1598,0.9969,5.2426
112,0.082000,0.082429,42,1,0.0233,"14,580","661,864",396,"125,860",0.1598,0.9969,5.2422
113,0.082500,0.082619,102,5,0.0467,"14,682","661,762",401,"125,855",0.1598,0.9968,5.2414
114,0.082667,0.082857,21,1,0.0455,"14,703","661,741",402,"125,854",0.1598,0.9968,5.2413
115,0.083000,0.083278,22,1,0.0435,"14,725","661,719",403,"125,853",0.1598,0.9968,5.2411
116,0.083333,0.084048,262,9,0.0332,"14,987","661,457",412,"125,844",0.1598,0.9967,5.2390
117,0.084167,0.084167,15,2,0.1176,"15,002","661,442",414,"125,842",0.1598,0.9967,5.2389
118,0.084286,0.084667,36,1,0.0270,"15,038","661,406",415,"125,841",0.1598,0.9967,5.2386
119,0.084762,0.084881,7,1,0.1250,"15,045","661,399",416,"125,840",0.1598,0.9967,5.2386
120,0.085000,0.085357,425,16,0.0363,"15,470","660,974",432,"125,824",0.1599,0.9966,5.2352
121,0.085417,0.085556,5,1,0.1667,"15,475","660,969",433,"125,823",0.1599,0.9966,5.2351
122,0.085611,0.085667,3,1,0.2500,"15,478","660,966",434,"125,822",0.1599,0.9966,5.2351
123,0.085714,0.085833,22,1,0.0435,"15,500","660,944",435,"125,821",0.1599,0.9966,5.2350
124,0.086000,0.086488,64,1,0.0154,"15,564","660,880",436,"125,820",0.1599,0.9965,5.2344
125,0.086500,0.086643,9,1,0.1000,"15,573","660,871",437,"125,819",0.1599,0.9965,5.2344
126,0.086667,0.086917,208,4,0.0189,"15,781","660,663",441,"125,815",0.1600,0.9965,5.2327
127,0.087000,0.087190,12,1,0.0769,"15,793","660,651",442,"125,814",0.1600,0.9965,5.2326
128,0.087333,0.087333,13,3,0.1875,"15,806","660,638",445,"125,811",0.1600,0.9965,5.2325
129,0.087500,0.088262,142,6,0.0405,"15,948","660,496",451,"125,805",0.1600,0.9964,5.2314
130,0.088333,0.089119,151,1,0.0066,"16,099","660,345",452,"125,804",0.1600,0.9964,5.2302
131,0.089167,0.089833,67,2,0.0290,"16,166","660,278",454,"125,802",0.1600,0.9964,5.2297
132,0.089857,0.090000,6,1,0.1429,"16,172","660,272",455,"125,801",0.1600,0.9964,5.2296
133,0.090000,0.090190,"2,094",49,0.0229,"18,266","658,178",504,"125,752",0.1604,0.9960,5.2130
134,0.090238,0.090333,7,1,0.1250,"18,273","658,171",505,"125,751",0.1604,0.9960,5.2130
135,0.090357,0.090394,9,1,0.1000,"18,282","658,162",506,"125,750",0.1604,0.9960,5.2129
136,0.090444,0.090714,21,1,0.0455,"18,303","658,141",507,"125,749",0.1604,0.9960,5.2128
137,0.090833,0.090952,15,1,0.0625,"18,318","658,126",508,"125,748",0.1604,0.9960,5.2126
138,0.091000,0.091250,25,1,0.0385,"18,343","658,101",509,"125,747",0.1604,0.9960,5.2124
139,0.091310,0.091310,3,1,0.2500,"18,346","658,098",510,"125,746",0.1604,0.9960,5.2124
140,0.091333,0.091595,23,1,0.0417,"18,369","658,075",511,"125,745",0.1604,0.9960,5.2122
141,0.091667,0.091905,83,2,0.0235,"18,452","657,992",513,"125,743",0.1604,0.9959,5.2116
142,0.092000,0.092489,67,2,0.0290,"18,519","657,925",515,"125,741",0.1605,0.9959,5.2110
143,0.092500,0.092857,131,3,0.0224,"18,650","657,794",518,"125,738",0.1605,0.9959,5.2100
144,0.092917,0.093000,6,1,0.1429,"18,656","657,788",519,"125,737",0.1605,0.9959,5.2100
145,0.093167,0.093167,6,1,0.1429,"18,662","657,782",520,"125,736",0.1605,0.9959,5.2099
146,0.093333,0.094000,242,14,0.0547,"18,904","657,540",534,"125,722",0.1605,0.9958,5.2080
147,0.094000,0.094107,43,1,0.0227,"18,947","657,497",535,"125,721",0.1605,0.9958,5.2076
148,0.094167,0.095000,84,2,0.0233,"19,031","657,413",537,"125,719",0.1605,0.9957,5.2070
149,0.095000,0.095000,486,13,0.0261,"19,517","656,927",550,"125,706",0.1606,0.9956,5.2031
150,0.095167,0.095357,23,1,0.0417,"19,540","656,904",551,"125,705",0.1606,0.9956,5.2030
151,0.095417,0.095556,7,1,0.1250,"19,547","656,897",552,"125,704",0.1606,0.9956,5.2029
152,0.095667,0.095706,11,1,0.0833,"19,558","656,886",553,"125,703",0.1606,0.9956,5.2028
153,0.095714,0.095952,31,1,0.0312,"19,589","656,855",554,"125,702",0.1606,0.9956,5.2026
154,0.096000,0.096500,62,1,0.0159,"19,651","656,793",555,"125,701",0.1606,0.9956,5.2021
155,0.096667,0.096857,250,6,0.0234,"19,901","656,543",561,"125,695",0.1607,0.9956,5.2001
156,0.096944,0.097250,18,1,0.0526,"19,919","656,525",562,"125,694",0.1607,0.9955,5.2000
157,0.097333,0.097500,19,1,0.0500,"19,938","656,506",563,"125,693",0.1607,0.9955,5.1998
158,0.097500,0.097833,122,5,0.0394,"20,060","656,384",568,"125,688",0.1607,0.9955,5.1988
159,0.097857,0.097978,10,1,0.0909,"20,070","656,374",569,"125,687",0.1607,0.9955,5.1988
160,0.098000,0.098238,42,2,0.0455,"20,112","656,332",571,"125,685",0.1607,0.9955,5.1984
161,0.098333,0.098500,95,5,0.0500,"20,207","656,237",576,"125,680",0.1607,0.9954,5.1977
162,0.098667,0.099286,74,1,0.0133,"20,281","656,163",577,"125,679",0.1607,0.9954,5.1971
163,0.099333,0.100000,53,1,0.0185,"20,334","656,110",578,"125,678",0.1608,0.9954,5.1967
164,0.100000,0.100278,"2,281",67,0.0285,"22,615","653,829",645,"125,611",0.1612,0.9949,5.1786
165,0.100333,0.100714,40,1,0.0244,"22,655","653,789",646,"125,610",0.1612,0.9949,5.1783
166,0.100833,0.101119,50,2,0.0385,"22,705","653,739",648,"125,608",0.1612,0.9949,5.1779
167,0.101167,0.101500,30,1,0.0323,"22,735","653,709",649,"125,607",0.1612,0.9949,5.1776
168,0.101667,0.101970,139,8,0.0544,"22,874","653,570",657,"125,599",0.1612,0.9948,5.1765
169,0.102000,0.102024,38,4,0.0952,"22,912","653,532",661,"125,595",0.1612,0.9948,5.1762
170,0.102083,0.102452,19,1,0.0500,"22,931","653,513",662,"125,594",0.1612,0.9948,5.1761
171,0.102500,0.102857,143,4,0.0272,"23,074","653,370",666,"125,590",0.1612,0.9947,5.1750
172,0.102917,0.103286,14,1,0.0667,"23,088","653,356",667,"125,589",0.1612,0.9947,5.1749
173,0.103333,0.103571,293,9,0.0298,"23,381","653,063",676,"125,580",0.1613,0.9946,5.1725
174,0.103667,0.103690,14,1,0.0667,"23,395","653,049",677,"125,579",0.1613,0.9946,5.1724
175,0.103750,0.103750,6,1,0.1429,"23,401","653,043",678,"125,578",0.1613,0.9946,5.1724
176,0.103770,0.103857,7,1,0.1250,"23,408","653,036",679,"125,577",0.1613,0.9946,5.1723
177,0.103929,0.104000,4,2,0.3333,"23,412","653,032",681,"125,575",0.1613,0.9946,5.1723
178,0.104000,0.104048,65,1,0.0152,"23,477","652,967",682,"125,574",0.1613,0.9946,5.1718
179,0.104167,0.104167,43,1,0.0227,"23,520","652,924",683,"125,573",0.1613,0.9946,5.1714
180,0.104226,0.104226,3,1,0.2500,"23,523","652,921",684,"125,572",0.1613,0.9946,5.1714
181,0.104286,0.104476,15,1,0.0625,"23,538","652,906",685,"125,571",0.1613,0.9946,5.1713
182,0.104500,0.104833,35,2,0.0541,"23,573","652,871",687,"125,569",0.1613,0.9946,5.1710
183,0.104952,0.105000,4,1,0.2000,"23,577","652,867",688,"125,568",0.1613,0.9946,5.1710
184,0.105000,0.106000,634,22,0.0335,"24,211","652,233",710,"125,546",0.1614,0.9944,5.1660
185,0.106000,0.106250,59,5,0.0781,"24,270","652,174",715,"125,541",0.1614,0.9943,5.1655
186,0.106333,0.106647,20,1,0.0476,"24,290","652,154",716,"125,540",0.1614,0.9943,5.1653
187,0.106667,0.107143,294,8,0.0265,"24,584","651,860",724,"125,532",0.1615,0.9943,5.1630
188,0.107167,0.107262,2,1,0.3333,"24,586","651,858",725,"125,531",0.1615,0.9943,5.1630
189,0.107333,0.107500,20,1,0.0476,"24,606","651,838",726,"125,530",0.1615,0.9942,5.1628
190,0.107500,0.107857,169,4,0.0231,"24,775","651,669",730,"125,526",0.1615,0.9942,5.1615
191,0.107867,0.107952,5,1,0.1667,"24,780","651,664",731,"125,525",0.1615,0.9942,5.1614
192,0.108000,0.108167,44,3,0.0638,"24,824","651,620",734,"125,522",0.1615,0.9942,5.1611
193,0.108333,0.108583,132,3,0.0222,"24,956","651,488",737,"125,519",0.1615,0.9942,5.1601
194,0.108667,0.109000,26,2,0.0714,"24,982","651,462",739,"125,517",0.1615,0.9941,5.1598
195,0.109000,0.109048,13,3,0.1875,"24,995","651,449",742,"125,514",0.1615,0.9941,5.1597
196,0.109167,0.109262,34,2,0.0556,"25,029","651,415",744,"125,512",0.1615,0.9941,5.1595
197,0.109286,0.109310,15,1,0.0625,"25,044","651,400",745,"125,511",0.1616,0.9941,5.1594
198,0.109333,0.109659,34,2,0.0556,"25,078","651,366",747,"125,509",0.1616,0.9941,5.1591
199,0.109667,0.110000,24,1,0.0400,"25,102","651,342",748,"125,508",0.1616,0.9941,5.1589
200,0.110000,0.110667,"2,488",73,0.0285,"27,590","648,854",821,"125,435",0.1620,0.9935,5.1392
201,0.110714,0.110714,1,1,0.5000,"27,591","648,853",822,"125,434",0.1620,0.9935,5.1392
202,0.110762,0.110821,2,1,0.3333,"27,593","648,851",823,"125,433",0.1620,0.9935,5.1392
203,0.110833,0.110984,24,2,0.0769,"27,617","648,827",825,"125,431",0.1620,0.9935,5.1390
204,0.111000,0.111545,72,1,0.0137,"27,689","648,755",826,"125,430",0.1620,0.9935,5.1384
205,0.111667,0.111881,147,11,0.0696,"27,836","648,608",837,"125,419",0.1620,0.9934,5.1372
206,0.112000,0.112381,59,1,0.0167,"27,895","648,549",838,"125,418",0.1620,0.9934,5.1368
207,0.112500,0.112962,156,5,0.0311,"28,051","648,393",843,"125,413",0.1621,0.9933,5.1355
208,0.113000,0.113000,20,1,0.0476,"28,071","648,373",844,"125,412",0.1621,0.9933,5.1354
209,0.113095,0.113214,8,1,0.1111,"28,079","648,365",845,"125,411",0.1621,0.9933,5.1353
210,0.113333,0.113333,340,11,0.0313,"28,419","648,025",856,"125,400",0.1621,0.9932,5.1326
211,0.113389,0.113452,4,1,0.2000,"28,423","648,021",857,"125,399",0.1621,0.9932,5.1326
212,0.113500,0.114000,25,1,0.0385,"28,448","647,996",858,"125,398",0.1621,0.9932,5.1324
213,0.114000,0.114024,51,2,0.0377,"28,499","647,945",860,"125,396",0.1621,0.9932,5.1320
214,0.114167,0.114952,86,1,0.0115,"28,585","647,859",861,"125,395",0.1622,0.9932,5.1313
215,0.115000,0.115000,5,1,0.1667,"28,590","647,854",862,"125,394",0.1622,0.9932,5.1313
216,0.115000,0.115500,581,20,0.0333,"29,171","647,273",882,"125,374",0.1623,0.9930,5.1267
217,0.115556,0.115619,1,1,0.5000,"29,172","647,272",883,"125,373",0.1623,0.9930,5.1267
218,0.115643,0.115714,20,1,0.0476,"29,192","647,252",884,"125,372",0.1623,0.9930,5.1265
219,0.115833,0.115952,47,1,0.0208,"29,239","647,205",885,"125,371",0.1623,0.9930,5.1261
220,0.116000,0.116000,58,4,0.0645,"29,297","647,147",889,"125,367",0.1623,0.9930,5.1257
221,0.116024,0.116548,24,1,0.0400,"29,321","647,123",890,"125,366",0.1623,0.9930,5.1255
222,0.116667,0.117000,303,7,0.0226,"29,624","646,820",897,"125,359",0.1623,0.9929,5.1231
223,0.117024,0.117167,10,1,0.0909,"29,634","646,810",898,"125,358",0.1623,0.9929,5.1230
224,0.117333,0.117500,24,1,0.0400,"29,658","646,786",899,"125,357",0.1623,0.9929,5.1228
225,0.117500,0.117976,166,8,0.0460,"29,824","646,620",907,"125,349",0.1624,0.9928,5.1215
226,0.118000,0.118250,50,1,0.0196,"29,874","646,570",908,"125,348",0.1624,0.9928,5.1211
227,0.118333,0.118524,161,4,0.0242,"30,035","646,409",912,"125,344",0.1624,0.9928,5.1198
228,0.118667,0.119286,116,1,0.0085,"30,151","646,293",913,"125,343",0.1624,0.9928,5.1189
229,0.119333,0.119470,14,1,0.0667,"30,165","646,279",914,"125,342",0.1624,0.9928,5.1188
230,0.119500,0.119500,13,2,0.1333,"30,178","646,266",916,"125,340",0.1624,0.9927,5.1187
231,0.119524,0.119619,5,1,0.1667,"30,183","646,261",917,"125,339",0.1624,0.9927,5.1187
232,0.119635,0.119667,14,1,0.0667,"30,197","646,247",918,"125,338",0.1624,0.9927,5.1185
233,0.119833,0.119970,7,2,0.2222,"30,204","646,240",920,"125,336",0.1624,0.9927,5.1185
234,0.120000,0.120000,12,1,0.0769,"30,216","646,228",921,"125,335",0.1624,0.9927,5.1184
235,0.120000,0.120060,"2,625",86,0.0317,"32,841","643,603","1,007","125,249",0.1629,0.9920,5.0976
236,0.120152,0.120190,5,1,0.1667,"32,846","643,598","1,008","125,248",0.1629,0.9920,5.0976
237,0.120303,0.120667,34,1,0.0286,"32,880","643,564","1,009","125,247",0.1629,0.9920,5.0973
238,0.120714,0.120714,1,1,0.5000,"32,881","643,563","1,010","125,246",0.1629,0.9920,5.0973
239,0.120833,0.120952,50,4,0.0741,"32,931","643,513","1,014","125,242",0.1629,0.9920,5.0969
240,0.121000,0.121111,29,2,0.0645,"32,960","643,484","1,016","125,240",0.1629,0.9920,5.0967
241,0.121167,0.121333,7,1,0.1250,"32,967","643,477","1,017","125,239",0.1629,0.9919,5.0966
242,0.121417,0.121417,5,1,0.1667,"32,972","643,472","1,018","125,238",0.1629,0.9919,5.0966
243,0.121429,0.121548,14,1,0.0667,"32,986","643,458","1,019","125,237",0.1629,0.9919,5.0965
244,0.121667,0.121857,182,7,0.0370,"33,168","643,276","1,026","125,230",0.1630,0.9919,5.0950
245,0.122000,0.122222,72,2,0.0270,"33,240","643,204","1,028","125,228",0.1630,0.9919,5.0944
246,0.122333,0.122440,15,1,0.0625,"33,255","643,189","1,029","125,227",0.1630,0.9918,5.0943
247,0.122476,0.122476,2,1,0.3333,"33,257","643,187","1,030","125,226",0.1630,0.9918,5.0943
248,0.122500,0.122500,4,1,0.2000,"33,261","643,183","1,031","125,225",0.1630,0.9918,5.0943
249,0.122500,0.122952,195,3,0.0152,"33,456","642,988","1,034","125,222",0.1630,0.9918,5.0927
250,0.123000,0.123214,30,1,0.0323,"33,486","642,958","1,035","125,221",0.1630,0.9918,5.0925
251,0.123333,0.123571,329,15,0.0436,"33,815","642,629","1,050","125,206",0.1631,0.9917,5.0899
252,0.123667,0.123929,37,2,0.0513,"33,852","642,592","1,052","125,204",0.1631,0.9917,5.0896
253,0.124000,0.124000,1,1,0.5000,"33,853","642,591","1,053","125,203",0.1631,0.9917,5.0896
254,0.124000,0.124111,85,4,0.0449,"33,938","642,506","1,057","125,199",0.1631,0.9916,5.0889
255,0.124167,0.124220,58,2,0.0333,"33,996","642,448","1,059","125,197",0.1631,0.9916,5.0885
256,0.124286,0.124286,8,1,0.1111,"34,004","642,440","1,060","125,196",0.1631,0.9916,5.0884
257,0.124333,0.125000,55,1,0.0179,"34,059","642,385","1,061","125,195",0.1631,0.9916,5.0880
258,0.125000,0.125310,670,21,0.0304,"34,729","641,715","1,082","125,174",0.1632,0.9914,5.0826
259,0.125333,0.125952,95,1,0.0104,"34,824","641,620","1,083","125,173",0.1632,0.9914,5.0819
260,0.126000,0.126071,59,5,0.0781,"34,883","641,561","1,088","125,168",0.1632,0.9914,5.0814
261,0.126111,0.126298,19,1,0.0500,"34,902","641,542","1,089","125,167",0.1633,0.9914,5.0813
262,0.126333,0.126429,5,1,0.1667,"34,907","641,537","1,090","125,166",0.1633,0.9914,5.0812
263,0.126444,0.126460,5,1,0.1667,"34,912","641,532","1,091","125,165",0.1633,0.9914,5.0812
264,0.126500,0.126500,6,2,0.2500,"34,918","641,526","1,093","125,163",0.1633,0.9913,5.0812
265,0.126524,0.126556,2,1,0.3333,"34,920","641,524","1,094","125,162",0.1633,0.9913,5.0811
266,0.126667,0.127214,399,15,0.0362,"35,319","641,125","1,109","125,147",0.1633,0.9912,5.0780
