Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
134,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_1,Min,0.138,0.992,0.854,125769,135,125634,0.138,1.0,1.0,0.5,40744,635700,487,125769,5.03500823723229
2540,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_1,Max,0.138,0.992,0.854,125769,135,125634,0.992,1.0,0.0,0.0,676438,6,126121,135,4.75224939804841e-05
1878,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_10,Min,0.7283,0.8584,0.1301000000000001,42571,13795,28776,0.7283,14.0,16.0,0.5333333333333333,646288,30156,83685,42571,0.23884805474591306
2327,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_10,Max,0.7283,0.8584,0.1301000000000001,42571,13795,28776,0.8584,15.0,14.0,0.4827586206896552,671654,4790,112461,13795,0.03793879102775314
2024,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_20,Min,0.768,0.8083,0.0403,33243,24126,9117,0.768,2201.0,2228.0,0.5030480921201174,657052,19392,93013,33243,0.1535927005449246
2162,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_20,Max,0.768,0.8083,0.0403,33243,24126,9117,0.8083,48.0,38.0,0.4418604651162791,665118,11326,102130,24126,0.08970662780382714
2025,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_50,Min,0.7682,0.77,0.0018000000000000238,33243,31082,2161,0.7682,2295.0,2301.0,0.5006527415143603,657054,19390,93013,33243,0.15357685971359777
2033,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_50,Max,0.7682,0.77,0.0018000000000000238,33243,31082,2161,0.77,2334.0,2331.0,0.4996784565916399,659167,17277,95174,31082,0.13684102141680396
2020,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_100,Min,0.7665,0.766,-0.0004999999999999449,33272,33272,0,0.7665,6708.0,6889.0,0.5066558799735236,657023,19421,92984,33272,0.1538223925991636
2019,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_100,Max,0.7665,0.766,-0.0004999999999999449,33272,33272,0,0.766,4756.0,4669.0,0.49538461538461537,657022,19422,92984,33272,0.15383031301482702
2024,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_200,Min,0.768,0.7675,-0.000500000000000056,33243,33243,0,0.768,11493.0,11550.0,0.5012368181226403,657052,19392,93013,33243,0.1535927005449246
2023,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_200,Max,0.768,0.7675,-0.000500000000000056,33243,33243,0,0.7675,14109.0,13731.0,0.49321120689655173,657051,19393,93013,33243,0.15360062096058802
2016,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_500,Min,0.7653,0.765,-0.00029999999999996696,33277,33277,0,0.7653,31053.0,31546.0,0.5039377625840669,657018,19426,92979,33277,0.15386199467748068
2015,BRFC_alpha_0_5_0_0_0_0_Hard_Round_4,mProb_500,Max,0.7653,0.765,-0.00029999999999996696,33277,33277,0,0.765,34560.0,33765.0,0.4941822173435785,657017,19427,92979,33277,0.1538699150931441
49,BRFC_alpha_0_5_0_0_0_0_Medium_Round_4,mProb_1,Min,0.0256,0.9967,0.9711000000000001,126231,140,126091,0.0256,1.0,1.0,0.5,1222,675222,25,126231,5.348038905081738
8935,BRFC_alpha_0_5_0_0_0_0_Medium_Round_4,mProb_1,Max,0.0256,0.9967,0.9711000000000001,126231,140,126091,0.9967,2.0,0.0,0.0,676402,42,126116,140,0.0003326574578633887
7831,BRFC_alpha_0_5_0_0_0_0_Medium_Round_4,mProb_10,Min,0.8396,0.978,0.13839999999999997,14844,610,14234,0.8396,962.0,1016.0,0.5136501516683518,663029,13415,111412,14844,0.10625237612469902
8898,BRFC_alpha_0_5_0_0_0_0_Medium_Round_4,mProb_10,Max,0.8396,0.978,0.13839999999999997,14844,610,14234,0.978,28.0,19.0,0.40425531914893614,676177,267,125646,610,0.002114750982131542
