,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P
0,0.102568900190248,0.1035110053207841,"1,030",34,0.0320,"1,030","604,580",34,"107,922",0.1515,0.9997,5.6002
1,0.1035123896231483,0.1051981761679,"9,784",406,0.0398,"10,814","594,796",440,"107,516",0.1531,0.9959,5.5096
2,0.1052072031045521,0.1059067993551315,"8,527",400,0.0448,"19,341","586,269",840,"107,116",0.1545,0.9922,5.4306
3,0.1059118074207495,0.1062891231665213,"8,298",401,0.0461,"27,639","577,971","1,241","106,715",0.1559,0.9885,5.3538
4,0.1062911096807353,0.1068914752859587,"7,016",407,0.0548,"34,655","570,955","1,648","106,308",0.1570,0.9847,5.2888
5,0.1068956381299359,0.1072987425122001,"6,798",402,0.0558,"41,453","564,157","2,050","105,906",0.1581,0.9810,5.2258
6,0.1072998468889224,0.1076808971033284,"6,681",412,0.0581,"48,134","557,476","2,462","105,494",0.1591,0.9772,5.1639
7,0.1076904440465054,0.108050414221039,"6,320",401,0.0597,"54,454","551,156","2,863","105,093",0.1601,0.9735,5.1054
8,0.1080506933902177,0.1083834342830614,"6,542",407,0.0586,"60,996","544,614","3,270","104,686",0.1612,0.9697,5.0448
9,0.1083917301984963,0.1089541904574278,"6,482",410,0.0595,"67,478","538,132","3,680","104,276",0.1623,0.9659,4.9847
10,0.1089561876109441,0.1096782232776821,"5,283",401,0.0705,"72,761","532,849","4,081","103,875",0.1631,0.9622,4.9358
11,0.1096857902007775,0.1102124787107814,"4,806",413,0.0791,"77,567","528,043","4,494","103,462",0.1638,0.9584,4.8913
12,0.1102138630131456,0.1107397013546652,"4,888",402,0.0760,"82,455","523,155","4,896","103,060",0.1646,0.9546,4.8460
13,0.1107516081456522,0.1115081105013004,"5,137",407,0.0734,"87,592","518,018","5,303","102,653",0.1654,0.9509,4.7984
14,0.1115081704819464,0.1126279298543158,"4,030",403,0.0909,"91,622","513,988","5,706","102,250",0.1659,0.9471,4.7611
15,0.1126329999872164,0.1194386769892894,"4,761",404,0.0782,"96,383","509,227","6,110","101,846",0.1667,0.9434,4.7170
16,0.1194926654337036,0.1220752336596226,"5,685",401,0.0659,"102,068","503,542","6,511","101,445",0.1677,0.9397,4.6643
17,0.122087413059747,0.1233434168177472,"4,919",402,0.0755,"106,987","498,623","6,913","101,043",0.1685,0.9360,4.6188
18,0.1233551741161424,0.1238857885391621,"5,168",400,0.0718,"112,155","493,455","7,313","100,643",0.1694,0.9323,4.5709
19,0.1238889689794378,0.1245525305337007,"4,726",405,0.0789,"116,881","488,729","7,718","100,238",0.1702,0.9285,4.5271
20,0.1245533225141172,0.1253173147270816,"3,825",401,0.0949,"120,706","484,904","8,119","99,837",0.1707,0.9248,4.4917
21,0.12531841475539,0.1265182254068024,"4,623",401,0.0798,"125,329","480,281","8,520","99,436",0.1715,0.9211,4.4489
22,0.1265192568777439,0.1271311576788657,"4,209",411,0.0890,"129,538","476,072","8,931","99,025",0.1722,0.9173,4.4099
23,0.1271322840302317,0.1275377708979387,"3,839",400,0.0944,"133,377","472,233","9,331","98,625",0.1728,0.9136,4.3743
24,0.1275378060474536,0.127981224164225,"4,441",411,0.0847,"137,818","467,792","9,742","98,214",0.1735,0.9098,4.3332
25,0.1279822350772198,0.1284398976464157,"3,707",401,0.0976,"141,525","464,085","10,143","97,813",0.1741,0.9060,4.2988
26,0.128443102726179,0.1291522695200354,"4,267",406,0.0869,"145,792","459,818","10,549","97,407",0.1748,0.9023,4.2593
27,0.1291576168056575,0.129584316724323,"3,672",400,0.0982,"149,464","456,146","10,949","97,007",0.1754,0.8986,4.2253
28,0.129584405712987,0.1305984412462458,"3,544",400,0.1014,"153,008","452,602","11,349","96,607",0.1759,0.8949,4.1925
29,0.1305986783442236,0.1317443910027603,"3,224",400,0.1104,"156,232","449,378","11,749","96,207",0.1763,0.8912,4.1626
30,0.1317480169222904,0.1328579356827646,"2,629",409,0.1346,"158,861","446,749","12,158","95,798",0.1766,0.8874,4.1383
31,0.1328678245285859,0.1338947814305668,"2,865",400,0.1225,"161,726","443,884","12,558","95,398",0.1769,0.8837,4.1117
32,0.1338984100452244,0.1353236897862993,"3,523",407,0.1036,"165,249","440,361","12,965","94,991",0.1774,0.8799,4.0791
33,0.1353261889411872,0.1365477644079793,"2,566",400,0.1349,"167,815","437,795","13,365","94,591",0.1777,0.8762,4.0553
34,0.1365502315207987,0.1374260336617859,"3,073",401,0.1154,"170,888","434,722","13,766","94,190",0.1781,0.8725,4.0268
35,0.1374262952761524,0.1379776171680536,"3,760",406,0.0975,"174,648","430,962","14,172","93,784",0.1787,0.8687,3.9920
36,0.1379849665476977,0.1382711190269269,"3,548",400,0.1013,"178,196","427,414","14,572","93,384",0.1793,0.8650,3.9592
37,0.1382740216667119,0.1387841089490654,"3,856",419,0.0980,"182,052","423,558","14,991","92,965",0.1800,0.8611,3.9234
38,0.1387852117837171,0.1394653793525387,"4,163",418,0.0912,"186,215","419,395","15,409","92,547",0.1808,0.8573,3.8849
39,0.1394742230133398,0.1402928523701243,"3,516",404,0.1031,"189,731","415,879","15,813","92,143",0.1814,0.8535,3.8523
40,0.1402935207168434,0.1408957382603369,"3,345",407,0.1085,"193,076","412,534","16,220","91,736",0.1819,0.8498,3.8213
41,0.1408987081209939,0.1412757525459503,"4,022",409,0.0923,"197,098","408,512","16,629","91,327",0.1827,0.8460,3.7841
42,0.1412758461415878,0.1414509435710411,"3,578",408,0.1024,"200,676","404,934","17,037","90,919",0.1834,0.8422,3.7509
43,0.1414513273109516,0.1417156274935547,"3,302",401,0.1083,"203,978","401,632","17,438","90,518",0.1839,0.8385,3.7203
44,0.1417173014866387,0.141949047498155,"3,187",404,0.1125,"207,165","398,445","17,842","90,114",0.1844,0.8347,3.6908
45,0.1419498895338986,0.1421535485011632,"3,297",406,0.1096,"210,462","395,148","18,248","89,708",0.1850,0.8310,3.6603
46,0.142157224732166,0.1423947467537807,"3,646",400,0.0989,"214,108","391,502","18,648","89,308",0.1857,0.8273,3.6265
47,0.1423984233023353,0.1426181231737489,"3,265",400,0.1091,"217,373","388,237","19,048","88,908",0.1863,0.8236,3.5963
48,0.1426223876047961,0.1428539316480468,"3,352",405,0.1078,"220,725","384,885","19,453","88,503",0.1870,0.8198,3.5652
49,0.1428541160309584,0.1430578775117412,"2,825",402,0.1246,"223,550","382,060","19,855","88,101",0.1874,0.8161,3.5390
50,0.1430603296495545,0.1433103777786312,"3,007",404,0.1184,"226,557","379,053","20,259","87,697",0.1879,0.8123,3.5112
51,0.1433110024231034,0.1434934891944989,"3,642",425,0.1045,"230,199","375,411","20,684","87,272",0.1886,0.8084,3.4774
52,0.1434971420767485,0.1436941337410897,"3,306",406,0.1094,"233,505","372,105","21,090","86,866",0.1893,0.8046,3.4468
